job_name,company_add,month,salary_min,salary_max,record,company_name,company_type,scope,tag,welfare
中级java开发工程师,武汉,5,8000,12000,本科,璇瑞智佳装饰,生活服务,1000-9999人,Java，HTML，微服务架构，Spring，SpringMVC,全勤奖，年终奖，通讯补贴，交通补助，五险一金
java开发工程师,北京,3,30000,50000,本科,美团点评,O2O,10000人以上,分布式技术，多线程，数据结构，消息队列，网络编程,季度奖金，餐补，定期体检，全薪病假，股票期权，五险一金，双休，带薪年假，团建聚餐，年终奖，补充医疗保险，交通补助，员工旅游，节假日休，全薪病假，节日福利，零食下午茶，五险一金，加班补助，通讯补贴
JAVA高级工程师,西安,4,10000,15000,本科,昆仑数智,计算机服务,1000-9999人,spring boot，SpringMVC，Mybatis，Oracle，MySQL，全栈开发，高级软件工程师,定期体检，年终奖，补充医疗保险，住房补贴，五险一金，通讯补贴，包吃，交通补助，免费班车，带薪年假，餐补
资讯系统开发工程师,北京,12,20000,35000,本科,中信建投证券,互联网金融,10000人以上,SQL，Python，MySQL，Redis，NoSQL，Java，HTML，微服务架构,年终奖，交通补助，节日福利，五险一金，餐补，带薪年假，补充医疗保险，定期体检，通讯补贴
Java高级研发工程师,北京,2,25000,35000,本科,医渡云,互联网,1000-9999人,微服务架构，Spring，MongoDB，SpringBoot，后端开发,股票期权，定期体检，五险一金，节日福利，零食下午茶，补充医疗保险，年终奖，包吃，带薪年假
Java工程师,重庆,4,7000,12000,本科,网达软件,计算机软件,1000-9999人,Java，软件开发,节日福利，五险一金，带薪年假，免费班车，年终奖，零食下午茶，补充医疗保险
Java高级架构师,北京,2,60000,80000,本科,传智教育,在线教育,1000-9999人,分布式技术，微服务架构，Dubbo，SpringCloud，架构师，Redis，计算机软件,年终奖，通讯补贴，节日福利，补充医疗保险，餐补，零食下午茶，带薪年假，员工旅游，交通补助，定期体检
JAVA开发工程师（客户部）,杭州,2,15000,20000,本科,创业慧康,医疗健康,1000-9999人,分布式技术，Spring，MySQL，SQL Server，GIT，Maven，Jenkins，计算机软件,年终奖，股票期权，定期体检，带薪年假，五险一金，补充医疗保险，员工旅游，节日福利，通讯补贴，餐补，交通补助
高级Java开发工程师,西安,1,15000,25000,本科,奇安信集团,信息安全,1000-9999人,Java，分布式技术，微服务架构，搜索引擎技术，Spring，Hibernate，MySQL，Redis,补充医疗保险，年终奖，带薪年假，交通补助，通讯补贴，股票期权，定期体检，餐补，节日福利，零食下午茶，五险一金
Java工程师,上海,5,8000,13000,本科,上海海鼎,计算机软件,500-999人,SQL，分布式技术，微服务架构，Spring，SpringBoot，SpringCloud，后端开发，计算机软件,定期体检，五险一金，餐补，年终奖，补充公积金，节日福利，员工旅游，带薪年假
java开发工程师,北京,3,15000,30000,本科,光大科技,互联网金融,500-999人,多线程，微服务架构，负载均衡技术，消息队列，数据结构，Spring，SpringMVC，后端开发,带薪年假，补充医疗保险，交通补助，员工旅游，年终奖，节日福利，定期体检，餐补，五险一金
中级Java开发工程师,北京,4,10000,15000,本科,宝利软件,计算机软件,500-999人,微服务架构，SpringCloud，SpringBoot，SpringMVC，Oracle，后端开发，保险,年终奖，零食下午茶，五险一金，定期体检，带薪年假，通讯补贴，员工旅游
java开发工程师,成都,5,8000,13000,大专,金证股份,计算机软件,1000-9999人,Java,零食下午茶，年终奖，加班补助，员工旅游，通讯补贴，股票期权，定期体检，节日福利，补充医疗保险，交通补助，五险一金，带薪年假
Java,广州,4,30000,50000,本科,广发证券,互联网金融,1000-9999人,Java，MVC开发，多线程，负载均衡技术，容器技术，Spring，MySQL，Oracle,节日福利，补充医疗保险，员工旅游，带薪年假，定期体检，五险一金，餐补，年终奖
JAVA开发工程师,西安,4,12000,20000,大专,钽云科技,计算机软件,1000-9999人,web，ITIL，J2EE，SSH，JPBM，Tomcat，Weblogic，WebSphere,五险一金，餐补，带薪年假，定期体检，交通补助，通讯补贴
java开发高级工程师,福州,4,16000,27000,本科,福大自动化,贸易/进出口,1000-9999人,SQL,节日福利，全勤奖，带薪年假，试用期一对一
WCS研发工程师,杭州,3,12000,18000,大专,天津红日药业股份...,制药,10000人以上,WCS，J2EE,无
交易中台Java专家,杭州,12,30000,60000,本科,阿里集团,移动互联网,10000人以上,Java，分布式技术，多线程，负载均衡技术，容器技术，消息队列，微服务架构，架构师,交通补助，加班补助，五险一金，定期体检，零食下午茶，餐补，通讯补贴，补充医疗保险
Java开发工程师,武汉,5,9000,14000,本科,武汉佰钧成技术,计算机软件,1000-9999人,MySQL，SQL Server，微服务架构，SQL，Spring，Oracle,员工福利，六险一金，商业保险，带薪年假，节日福利，薪资待遇
高级Java开发工程师,北京,4,30000,60000,本科,美团,互联网,10000人以上,Java，分布式技术，后端开发，架构师，结算，交易，支付，互联网,全薪病假，定期体检，五险一金，年终奖，带薪年假，补充医疗保险，员工旅游，交通补助，节日福利，团建，六险一金，通讯补贴，13薪
Java开发工程师（南京）,南京,4,11000,13000,大专,迈思信息,移动互联网,500-999人,多线程，负载均衡技术，Spring，SpringMVC，Redis，NoSQL，PostgreSQL,五险一金，定期体检，通讯补贴，带薪年假，零食下午茶
Java开发工程师,北京,5,14000,22000,大专,法本信息,互联网,1000-9999人,SQL，分布式技术，SpringMVC，Spring，SpringBoot，Oracle，MySQL，Linux,五险一金，免费班车，带薪年假，节日福利，员工旅游，加班补助，零食下午茶，定期体检，年终奖
高级java,长沙,4,9000,14000,本科,拓维云创,计算机软件,1000-9999人,Spring，Hibernate，Struts，Redis，Oracle，MySQL，后端开发,餐补，年终奖，补充医疗保险，定期体检，五险一金，带薪年假
Java,长沙,4,8000,13000,本科,卫宁健康,计算机软件,1000-9999人,分布式技术，SQL，多线程，微服务架构，SpringCloud，SpringBoot，Redis，SQL Server,定期体检，餐补，节日福利，加班补助，通讯补贴，带薪年假，股票期权，五险一金，年终奖
